Date,3m-tbill,3m-commercial,10y-note,federal fund rate,m2,policy rate
"Aug, 2011",0.02,0.21,2.3,0.1,9482.6,0.08
"Sep, 2011",0.01,0.22,1.98,0.08,9516.9,0.06
"Oct, 2011",0.02,0.24,2.15,0.07,9551.8,0.09
"Nov, 2011",0.01,0.21,2.02,0.08,9594.2,0.1
"Dec, 2011",0.01,0.18,1.98,0.07,9621.8,0.04
"Jan, 2012",0.03,0.26,1.97,0.08,9710.3,0.11
"Feb, 2012",0.09,0.21,1.97,0.1,9753.9,0.1
"Mar, 2012",0.08,0.2,2.17,0.13,9793.5,0.09
"Apr, 2012",0.08,0.2,2.05,0.14,9845,0.16
"May, 2012",0.09,0.2,1.8,0.16,9880.4,0.16
"Jun, 2012",0.09,0.21,1.62,0.16,9937,0.09
"Jul, 2012",0.1,0.24,1.53,0.16,10022.2,0.13
"Aug, 2012",0.1,0.19,1.68,0.13,10090,0.13
"Sep, 2012",0.11,0.17,1.72,0.14,10163.9,0.09
"Oct, 2012",0.1,0.19,1.75,0.16,10232.9,0.18
"Nov, 2012",0.09,0.21,1.65,0.16,10293.2,0.16
"Dec, 2012",0.07,0.17,1.72,0.16,10412.8,0.09
"Jan, 2013",0.07,0.19,1.91,0.14,10452.1,0.15
"Feb, 2013",0.1,0.16,1.98,0.15,10443.9,0.14
"Mar, 2013",0.09,0.15,1.96,0.14,10501.1,0.09
"Apr, 2013",0.06,0.16,1.76,0.15,10556.3,0.14
"May, 2013",0.04,0.14,1.93,0.11,10581.4,0.09
"Jun, 2013",0.05,0.14,2.3,0.09,10625,0.07
"Jul, 2013",0.04,0.14,2.58,0.09,10699.3,0.09
"Aug, 2013",0.04,0.12,2.74,0.08,10755.9,0.07
"Sep, 2013",0.02,0.11,2.81,0.08,10814.4,0.06
"Oct, 2013",0.05,0.12,2.62,0.09,10919.4,0.07
"Nov, 2013",0.07,0.12,2.72,0.08,10923.2,0.07
"Dec, 2013",0.07,0.14,2.9,0.09,10979.6,0.07
"Jan, 2014",0.04,0.12,2.86,0.07,11030.7,0.07
"Feb, 2014",0.05,0.13,2.71,0.07,11114.2,0.06
"Mar, 2014",0.05,0.12,2.72,0.08,11157.9,0.06
"Apr, 2014",0.03,0.12,2.71,0.09,11215.9,0.09
"May, 2014",0.03,0.11,2.56,0.09,11273.7,0.08
"Jun, 2014",0.04,0.11,2.6,0.1,11332.8,0.09
"Jul, 2014",0.03,0.13,2.54,0.09,11405.5,0.08
"Aug, 2014",0.03,0.13,2.42,0.09,11435.7,0.07
"Sep, 2014",0.02,0.12,2.53,0.09,11483.1,0.07
"Oct, 2014",0.02,0.12,2.3,0.09,11524.6,0.07
"Nov, 2014",0.02,0.13,2.33,0.09,11556,0.08
"Dec, 2014",0.03,0.15,2.21,0.12,11627.5,0.06
"Jan, 2015",0.03,0.16,1.88,0.11,11689.5,0.06
"Feb, 2015",0.02,0.15,1.98,0.11,11814.6,0.06
"Mar, 2015",0.03,0.14,2.04,0.11,11847.7,0.06
"Apr, 2015",0.02,0.13,1.94,0.12,11899,0.08
"May, 2015",0.02,0.15,2.2,0.12,11923.4,0.08
"Jun, 2015",0.02,0.18,2.36,0.13,11960.5,0.08
"Jul, 2015",0.03,0.19,2.32,0.13,12035.8,0.08
"Aug, 2015",0.07,0.26,2.17,0.14,12110.5,0.08
"Sep, 2015",0.02,0.27,2.17,0.14,12192.3,0.07
Oct 2015,0.02,0.27,2.17,0.14,12170.6,0.07
Nov 2015,0.02,0.25,2.07,0.12,12248.0,0.07
