"","rownames.SPX..z.length.SPX...2...","SP500","average_indicator","smooth_indicator"
"2012-09-04","2012-09-04",1440.670044,0.408681756889655,0.0233974875313812
"2012-10-01","2012-10-01",1412.160034,0.288310178261894,-0.0124211539251247
"2012-11-01","2012-11-01",1416.180054,0.152406291377393,-0.0477526854751789
"2012-12-03","2012-12-03",1426.189941,-0.889925304604203,-0.0751345781754151
"2013-01-02","2013-01-02",1498.109985,-0.187085989266451,-0.0484490342145478
"2013-02-01","2013-02-01",1514.680054,0.407749253501861,-0.0203855053697551
"2013-03-01","2013-03-01",1569.189941,-0.262174018401978,0.00254169148270929
"2013-04-01","2013-04-01",1597.569946,0.0524146317522054,-0.058342619399898
"2013-05-01","2013-05-01",1630.73999,-0.187924518021912,-0.205934511435926
"2013-06-03","2013-06-03",1606.280029,-1.1681824283816,-0.363262819387985
"2013-07-01","2013-07-01",1685.72998,-1.32652956695596,-0.415618937089896
"2013-08-01","2013-08-01",1632.969971,-0.700644808091405,-0.310118816507407
"2013-09-03","2013-09-03",1681.550049,-0.695240509400077,-0.172258240021189
"2013-10-01","2013-10-01",1756.540039,-0.740813870447949,-0.0694032137539356
"2013-11-01","2013-11-01",1805.810059,0.577371677184164,-0.0232007580913116
"2013-12-02","2013-12-02",1848.359985,-0.284763367020888,-0.00536371189976577
"2014-01-02","2014-01-02",1782.589966,-0.203889973237324,0.00231237237029737
"2014-02-03","2014-02-03",1859.449951,-0.33314506807331,-0.00445917606338642
"2014-03-03","2014-03-03",1872.339966,0.249449547598295,0.0115551945113258
"2014-04-01","2014-04-01",1883.949951,-0.078049451856818,0.0308406056120198
"2014-05-01","2014-05-01",1923.569946,0.703923330104362,0.0495573643276717
"2014-06-02","2014-06-02",1960.22998,0.522265314395676,0.0504231252776787
"2014-07-01","2014-07-01",1930.670044,-0.19856125779948,0.0413577843273978
"2014-08-01","2014-08-01",2003.369995,0.632134139380861,0.0515723051527587
"2014-09-02","2014-09-02",1972.290039,0.107592644330572,0.0623892274762287
"2014-10-01","2014-10-01",2018.050049,0.796534248651223,0.076284206440877
"2014-11-03","2014-11-03",2067.560059,0.556838730852536,0.0589431881976485
"2014-12-01","2014-12-01",2058.899902,-0.38452369886177,0.00149478820002539
"2015-01-02","2015-01-02",1994.98999,0.559563596835144,-0.0450993992692989
"2015-02-02","2015-02-02",2104.5,-0.996715481614035,-0.0809221611818494
"2015-03-02","2015-03-02",2067.889893,0.562636432512673,-0.0370936574897417
"2015-04-01","2015-04-01",2085.51001,0.5140866714768,-0.0585679493594804
"2015-05-01","2015-05-01",2107.389893,-0.134479228919869,-0.131178820193041
"2015-06-01","2015-06-01",2063.110107,-1.10523790862618,-0.278344457155184
"2015-07-01","2015-07-01",2103.840088,-1.0869427228777,-0.410101042265342
"2015-08-03","2015-08-03",1972.180054,-1.00913756229298,-0.441702022805327
"2015-09-01","2015-09-01",1920.030029,-1.35034691238262,-0.397656930400518
"2015-10-01","2015-10-01",2079.360107,0.0221768627288043,0.0221768627288043
"2015-11-02","2015-11-02",2099.199951,-0.218640994632051,-0.218640994632051
