"","rownames.SPX..z.length.SPX...2...","SP500","average_indicator","smooth_indicator"
"2013-02-01","2013-02-01",1514.680054,0.68793181829395,-0.0217557853253096
"2013-03-01","2013-03-01",1569.189941,-0.229123066373936,0.0227091867122012
"2013-04-01","2013-04-01",1597.569946,0.075829090996449,-0.0375261834452531
"2013-05-01","2013-05-01",1630.73999,-0.137657796574715,-0.18037081017531
"2013-06-03","2013-06-03",1606.280029,-1.09440826708083,-0.322578508055041
"2013-07-01","2013-07-01",1685.72998,-1.30636324274993,-0.379507430789999
"2013-08-01","2013-08-01",1632.969971,-0.679388089795388,-0.301160762771377
"2013-09-03","2013-09-03",1681.550049,-0.674639767687387,-0.188495410063116
"2013-10-01","2013-10-01",1756.540039,-0.930953927843179,-0.102359440641065
"2013-11-01","2013-11-01",1805.810059,0.670950764778564,-0.0393052419296595
"2013-12-02","2013-12-02",1848.359985,-0.269609961605102,-0.0133257165596516
"2014-01-02","2014-01-02",1782.589966,-0.195371974703074,0.00358305117114076
"2014-02-03","2014-02-03",1859.449951,-0.436805082096276,-0.00884099919521565
"2014-03-03","2014-03-03",1872.339966,0.28417487986428,0.00688539522524915
"2014-04-01","2014-04-01",1883.949951,-0.0404471412082853,0.0253697010807928
"2014-05-01","2014-05-01",1923.569946,0.662923312664562,0.0431482850794596
"2014-06-02","2014-06-02",1960.22998,0.519198371979313,0.0484492032642374
"2014-07-01","2014-07-01",1930.670044,-0.227209131762435,0.0444197183989769
"2014-08-01","2014-08-01",2003.369995,0.690421304796784,0.0619853879834505
"2014-09-02","2014-09-02",1972.290039,0.171542080812158,0.0761338034694718
"2014-10-01","2014-10-01",2018.050049,0.82409828964465,0.0930527175681001
"2014-11-03","2014-11-03",2067.560059,0.649998613838267,0.0720064791213977
"2014-12-01","2014-12-01",2058.899902,-0.380432169994744,-0.0450420429498107
"2015-01-02","2015-01-02",1994.98999,0.473296928591361,-0.148610363069347
"2015-02-02","2015-02-02",2104.5,-1.33362500425101,-0.233964547197503
"2015-03-02","2015-03-02",2067.889893,0.628949858590882,-0.133449245420407
"2015-04-01","2015-04-01",2085.51001,0.524332258787346,-0.0819425705397248
"2015-05-01","2015-05-01",2107.389893,0.00668372858418085,-0.0777319256331611
"2015-06-01","2015-06-01",2063.110107,-0.916794189300011,-0.191791487125206
"2015-07-01","2015-07-01",2103.840088,-1.03062351701479,-0.31397943197165
"2015-08-03","2015-08-03",1972.180054,-0.936510635965791,-0.349678412909252
"2015-09-01","2015-09-01",1920.030029,-1.2618954644529,-1.2618954644529
"2015-10-01","2015-10-01",2033.660034,0.117566705025606,0.117566705025606
