Cott Corporation (COT) ,COT,1150000000, 10/28/2015 , Sep 2015 , $0.1 , 5 , $0.09 ,-10%
Cullen/Frost Bankers Inc. (CFR) ,CFR,4270000000, 10/28/2015 , Sep 2015 , $1.12 , 9 , $1.17 ,4.46%
Curtiss-Wright Corporation (CW) ,CW,3180000000, 10/28/2015 , Sep 2015 , $1.01 , 6 , $0.8 ,-20.79%
Customers Bancorp Inc (CUBI) ,CUBI,738970000, 10/28/2015 , Sep 2015 , $0.5 , 4 , $0.5 ,0%
DENTSPLY International Inc. (XRAY) ,XRAY,8510000000, 10/28/2015 , Sep 2015 , $0.63 , 8 , $0.66 ,4.76%
DHI Group Inc. (DHX) ,DHX,476580000, 10/28/2015 , Sep 2015 , $0.1 , 3 , $0.12 ,20%
Diamond Hill Investment Group Inc. (DHIL) ,DHIL,681640000, 10/28/2015 , Sep 2015 , $n/a , 0 , $1.99 ,n/a
Diamond Resorts International Inc. (DRII) ,DRII,2080000000, 10/28/2015 , Sep 2015 , $0.46 , 3 , $0.34 ,-26.09%
Digimarc Corporation (DMRC) ,DMRC,192220000, 10/28/2015 , Sep 2015 , $-0.56 , 3 , $-0.54 ,-3.57%
Dorman Products Inc. (DORM) ,DORM,1660000000, 10/28/2015 , Sep 2015 , $0.74 , 6 , $0.73 ,-1.35%
DSP Group Inc. (DSPG) ,DSPG,223610000, 10/28/2015 , Sep 2015 , $0.03 , 1 , $0.01 ,-66.67%
Duke Realty Corporation (DRE) ,DRE,7150000000, 10/28/2015 , Sep 2015 , $0.29 , 11 , $0.29 ,0%
Dyax Corp. (DYAX) ,DYAX,4030000000, 10/28/2015 , Sep 2015 , $-0.07 , 5 , $-0.08 ,14.29%
Dynex Capital Inc. (DX) ,DX,354550000, 10/28/2015 , Sep 2015 , $0.21 , 2 , $0.24 ,14.29%
Eastern Company (The) (EML) ,EML,104730000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.41 ,n/a
Echo Global Logistics Inc. (ECHO) ,ECHO,735490000, 10/28/2015 , Sep 2015 , $0.27 , 2 , $0.24 ,-11.11%
Edgewater Technology Inc. (EDGW) ,EDGW,93300000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.08 ,n/a
Electro Scientific Industries Inc. (ESIO) ,ESIO,144350000, 10/28/2015 , Sep 2015 , $-0.21 , 1 , $-0.1 ,-52.38%
Ellie Mae Inc. (ELLI) ,ELLI,2160000000, 10/28/2015 , Sep 2015 , $0.13 , 4 , $0.24 ,84.62%
Empire State Realty Trust Inc. (ESRT) ,ESRT,4790000000, 10/28/2015 , Sep 2015 , $0.25 , 5 , $0.27 ,8%
