Corning Incorporated (GLW) ,GLW,22000000000, 10/28/2014 , Sep 2014 , $0.38 , 10 , $0.4 ,5.26%
CorVel Corp. (CRVL) ,CRVL,661640000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.37 ,n/a
CPS Technologies Corp. (CPSH) ,CPSH,32070000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.01 ,n/a
Cray Inc (CRAY) ,CRAY,1200000000, 10/28/2014 , Sep 2014 , $-0.1 , 1 , $0.22 ,-320%
CryoLife Inc. (CRY) ,CRY,299910000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.08 ,n/a
CSS Industries Inc. (CSS) ,CSS,246540000, 10/28/2014 , Sep 2014 , $n/a , 0 , $1.05 ,n/a
CU Bancorp (CA) (CUNB) ,CUNB,407450000, 10/28/2014 , Sep 2014 , $0.27 , 4 , $0.28 ,3.7%
Cummins Inc. (CMI) ,CMI,18390000000, 10/28/2014 , Sep 2014 , $2.28 , 12 , $2.32 ,1.75%
Cynosure Inc. (CYNO) ,CYNO,854510000, 10/28/2014 , Sep 2014 , $0.22 , 2 , $0.25 ,13.64%
Digital Realty Trust Inc. (DLR) ,DLR,10050000000, 10/28/2014 , Sep 2014 , $1.21 , 12 , $1.22 ,0.83%
DineEquity Inc (DIN) ,DIN,1570000000, 10/28/2014 , Sep 2014 , $1.07 , 5 , $1.14 ,6.54%
Dorman Products Inc. (DORM) ,DORM,1660000000, 10/28/2014 , Sep 2014 , $0.7 , 5 , $0.68 ,-2.86%
Dun & Bradstreet Corporation (The) (DNB) ,DNB,4110000000, 10/28/2014 , Sep 2014 , $1.72 , 5 , $1.85 ,7.56%
Dyax Corp. (DYAX) ,DYAX,4030000000, 10/28/2014 , Sep 2014 , $-0.06 , 4 , $-0.01 ,-83.33%
Dynamic Materials Corporation (BOOM) ,BOOM,101190000, 10/28/2014 , Sep 2014 , $0.19 , 4 , $0.18 ,-5.26%
E.I. du Pont de Nemours and Company (DD) ,DD,55560000000, 10/28/2014 , Sep 2014 , $0.53 , 12 , $0.54 ,1.89%
Eagle Bancorp Montana Inc. (EBMT) ,EBMT,44160000, 10/28/2014 , Sep 2014 , $0.16 , 2 , $0.18 ,12.5%
Eagle Materials Inc (EXP) ,EXP,3300000000, 10/28/2014 , Sep 2014 , $1.01 , 5 , $1.03 ,1.98%
Ecolab Inc. (ECL) ,ECL,35510000000, 10/28/2014 , Sep 2014 , $1.21 , 11 , $1.21 ,0%
Edison International (EIX) ,EIX,19720000000, 10/28/2014 , Sep 2014 , $1.35 , 8 , $1.52 ,12.59%
Electronic Arts Inc. (EA) ,EA,22470000000, 10/28/2014 , Sep 2014 , $0.43 , 3 , $0.62 ,44.19%
EMCOR Group Inc. (EME) ,EME,3030000000, 10/28/2014 , Sep 2014 , $0.65 , 5 , $0.57 ,-12.31%
Engility Holdings Inc. (EGL) ,EGL,1190000000, 10/28/2014 , Sep 2014 , $0.59 , 3 , $0.86 ,45.76%
Entegris Inc. (ENTG) ,ENTG,1800000000, 10/28/2014 , Sep 2014 , $0.18 , 5 , $0.21 ,16.67%
EPIQ Systems Inc. (EPIQ) ,EPIQ,515340000, 10/28/2014 , Sep 2014 , $0.14 , 2 , $0.18 ,28.57%
EPR Properties (EPR) ,EPR,3390000000, 10/28/2014 , Sep 2014 , $1.04 , 5 , $1.08 ,3.85%
Equity Residential (EQR) ,EQR,28150000000, 10/28/2014 , Sep 2014 , $0.8 , 12 , $0.81 ,1.25%
EXCO Resources NL (XCO) ,XCO,317020000, 10/28/2014 , Sep 2014 , $0.01 , 3 , $0.01 ,0%
Express Scripts Holding Company (ESRX) ,ESRX,58420000000, 10/28/2014 , Sep 2014 , $1.29 , 14 , $1.29 ,0%
Extreme Networks Inc. (EXTR) ,EXTR,363720000, 10/28/2014 , Sep 2014 , $-0.05 , 1 , $-0.06 ,20%
Facebook Inc. (FB) ,FB,287310000000, 10/28/2014 , Sep 2014 , $0.32 , 15 , $0.32 ,0%
Farmland Partners Inc. (FPI) ,FPI,119220000, 10/28/2014 , Sep 2014 , $0.03 , 2 , $0.06 ,100%
FARO Technologies Inc. (FARO) ,FARO,587740000, 10/28/2014 , Sep 2014 , $0.34 , 3 , $0.38 ,11.76%
Fauquier Bankshares Inc. (FBSS) ,FBSS,56170000, 10/28/2014 , Sep 2014 , $n/a , 0 , $0.38 ,n/a
FEI Company (FEIC) ,FEIC,3000000000, 10/28/2014 , Sep 2014 , $0.67 , 4 , $0.69 ,2.99%
